"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-25",,"64","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-26",,"58","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-27",,"59","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-28",,"66","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-01",,"67","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-02",,"61","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-03",,"59","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-04",,"58","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-05",,"63","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-06",,"54","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-07",,"57","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-08",,"57","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-09",,"56","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-10",,"53","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-11",,"56","43"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-12",,"60","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-13",,"53","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-14",,"55","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-15",,"53","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-16",,"53","43"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-17",,"54","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-18",,"54","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-19",,"58","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-20",,"57","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-21",,"59","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-22",,"58","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-23",,"65","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-24",,"65","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-25",,"58","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-26",,"67","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-27",,"69","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-28",,"67","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-29",,"60","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-30",,"75","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-31",,"80","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-01",,"78","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-02",,"61","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-03",,"58","49"
